dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
SolidiFI,Overflow-Underflow-3,e01ab8b006611d8612a81724edcfdc02,,0.5.1,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-30,acb72f1f3b2898b62d6d841f999e5c77,,0.5.11,['Overflow-Underflow'],[101],[3]
SBcurated,mishandled,914172cd9a4220f4edd2f53ac1c140fe,,0.4.0,['unchecked_low_level_calls'],[104],[4]
JiuZhou,byte[],f4f5521d8231f09f5145a06c6e55315f,,0.6.2,['byte[]'],[],[10]
SolidiFI,Overflow-Underflow-31,e42f79800a4c6a1bf6fded5cf76c5b5e,,0.5.11,['Overflow-Underflow'],[101],[3]
SBcurated,modifier_reentrancy,c373e8c9c600c430ebbc72e0aba07cbf,,0.4.24,['reentrancy'],[107],[1]
SolidiFI,Overflow-Underflow-32,6e820710a056a4949c7ee0ba07bdd629,,0.5.7,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-33,ee686c1134498ebb2157cb061acc2b75,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-34,5e4961d7c9d36a805b2dff709a2c61cc,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-20,3da12140af9541c656baa96decdbb670,,0.5.10,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-21,d813e6a1d3f2a9f4978f49c8912ec63b,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-35,23cdcd6d3e6ea50e02950ca2383949f3,,0.5.11,['Overflow-Underflow'],[101],[3]
JiuZhou,NoGuessTheNumber,6ba169c3d2f761905141e198142ebe97,,0.6.2,[],[],[]
SolidiFI,Timestamp-Dependency-12,a9a2697e134180944bfa16232a11aaa8,,0.6.0,['Timestamp-Dependency'],[116],[8]
SolidiFI,Unchecked-Send-20,a834375dc099e913fc9e7668ac8c1404,,0.5.10,['Unchecked-Send'],[104],[4]
SolidiFI,Unchecked-Send-15,48a46f62a5ee4383d29c9ac00e406b23,,0.5.7,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-37,6118522e73e0a3476fee31c1401c4c1b,,0.5.0,['Overflow-Underflow'],[101],[3]
JiuZhou,NoLockedMoney1,6b753e9924eeb7ada8352929dd784d78,,0.6.2,[],[],[]
SolidiFI,Timestamp-Dependency-4,75a1d4f547c131286f22e2f684e7e2ba,,0.6.0,['Timestamp-Dependency'],[116],[8]
SolidiFI,Overflow-Underflow-38,41f84b0b8118d03b17aa7d01c6bb4fe1,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-22,07dfae0441fd39d7c11c113600f30091,,0.5.1,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-39,786f6d65d4d8cd05531d280e4492f592,,0.5.10,['Overflow-Underflow'],[101],[3]
Doublade,0x11606995338d83acabcd06babaf4cdad66c73140-usingOraclize-reentrancy,311ff04c37e05a33801f2f03c1b7e26d,,0.4.18,[],[],[]
Doublade,0x38e9d51419dc53bb8c899a5fd473ce111b1757c4-usingOraclize-reentrancy,db4ed99c2e2fcd0c9e14f3b44d134460,,0.4.20,[],[],[]
Doublade,0x395df49c20e34a7ea995cbf546e54f66172992ea-BlockHashRNG-lowlevelcall_result,c6bc7996daf9cf5319935f1ba6def79e,,0.4.15,['lowlevelcall_result'],[104],[4]
SolidiFI,Overflow-Underflow-4,b7ab48206bb0a06aeda50deceddbeeca,,0.6.0,['Overflow-Underflow'],[101],[3]
JiuZhou,MissConstructor1,84eed6d15252786519030e276969c245,,0.6.2,['Write the wrong constructor name'],[118],[2]
SolidiFI,Overflow-Underflow-40,420f1e83aba46adbdbb54457e2063152,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-41,bceadcc140d54735bb49d5d0af2c7c80,,0.6.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-42,9a33d7fc8044fae9e5539a2a02a54636,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-43,6e906316f0492ecfb598521ff96015fd,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-16,95af986af2c18b06a6d123fec7147dba,,0.5.11,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-44,9ea743102e6c855d6cbb6f49fd06e6b8,,0.5.0,['Overflow-Underflow'],[101],[3]
