vulnerability,Baseline,MAIAN,Mythril,Semgrep,Slither,Solhint,VeriSmart
Reentrancy,MAIAN,100.0,0,0,0,0,0
Access Control,MAIAN,100.0,63.63636363636363,0,62.121212121212125,92.42424242424242,100.0
Arithmetic,MAIAN,100.0,0,0,0,0,0
Unchecked Return Values,MAIAN,100.0,0,0,0,0,0
DoS,MAIAN,100.0,0,0,62.7906976744186,4.651162790697675,0
Bad Randomness,MAIAN,100.0,0,0,0,0,0
Front-Running,MAIAN,100.0,0,0,0,0,0
Time manipulation,MAIAN,100.0,0,0,0,0,0
Reentrancy,Mythril,0,100.0,0,52.19941348973607,27.27272727272727,0
Access Control,Mythril,12.280701754385964,100.0,1.1695906432748537,77.48538011695906,76.60818713450293,79.53216374269006
Arithmetic,Mythril,0,100.0,0,28.46153846153846,0,80.25641025641026
Unchecked Return Values,Mythril,0,100.0,0,97.67441860465115,100.0,0
DoS,Mythril,0,100.0,0,38.860103626943,27.979274611398964,0
Bad Randomness,Mythril,0,100.0,0,26.666666666666668,11.666666666666666,0
Front-Running,Mythril,0,100.0,0,0,0,0
Time manipulation,Mythril,0,100.0,0,96.1977186311787,100.0,0
Reentrancy,Semgrep,0,0,100.0,77.77777777777779,33.33333333333333,0
Access Control,Semgrep,0,100.0,100.0,100.0,25.0,0
Arithmetic,Semgrep,0,0,100.0,0,0,0
Unchecked Return Values,Semgrep,0,0,100.0,0,0,0
DoS,Semgrep,0,0,100.0,0,0,0
Bad Randomness,Semgrep,0,0,100.0,80.0,100.0,0
Front-Running,Semgrep,0,0,100.0,0,0,0
Time manipulation,Semgrep,0,0,100.0,0,0,0
Reentrancy,Slither,0,40.546697038724375,1.5945330296127564,100.0,56.03644646924829,0
Access Control,Slither,7.454545454545454,48.18181818181818,0.7272727272727273,100.0,73.27272727272728,68.36363636363636
Arithmetic,Slither,0,43.7007874015748,0,100.0,0,93.30708661417323
Unchecked Return Values,Slither,0,31.93916349809886,0,100.0,80.22813688212928,0
DoS,Slither,8.823529411764707,24.509803921568626,0,100.0,13.071895424836603,0
Bad Randomness,Slither,0,21.333333333333336,5.333333333333334,100.0,28.000000000000004,0
Front-Running,Slither,0,0,0,100.0,0,0
Time manipulation,Slither,0,77.37003058103976,0,100.0,100.0,0
Reentrancy,Solhint,0,37.34939759036144,1.2048192771084338,98.79518072289156,100.0,0
Access Control,Solhint,7.420924574209247,31.873479318734795,0.12165450121654502,49.02676399026764,100.0,57.907542579075425
Arithmetic,Solhint,0,0,0,0,100.0,0
Unchecked Return Values,Solhint,0,34.959349593495936,0,85.77235772357723,100.0,0
DoS,Solhint,1.3793103448275863,37.24137931034483,0,27.586206896551722,100.0,0
Bad Randomness,Solhint,0,28.000000000000004,20.0,84.0,100.0,0
Front-Running,Solhint,0,0,0,0,100.0,0
Time manipulation,Solhint,0,68.48958333333334,0,85.15625,100.0,0
Reentrancy,VeriSmart,0,0,0,0,0,100.0
Access Control,VeriSmart,10.945273631840797,45.107794361525706,0,62.35489220563848,78.93864013266997,100.0
Arithmetic,VeriSmart,0,39.321608040201006,0,29.773869346733665,0,100.0
Unchecked Return Values,VeriSmart,0,0,0,0,0,100.0
DoS,VeriSmart,0,0,0,0,0,100.0
Bad Randomness,VeriSmart,0,0,0,0,0,100.0
Front-Running,VeriSmart,0,0,0,0,0,100.0
Time manipulation,VeriSmart,0,0,0,0,0,100.0
